city,datetime,main_aqi,main_aqi_label,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3
Islamabad,2021-08-24 00:00:00,5,Very Poor,1228.33,0.0,27.76,40.41,6.02,66.96,87.07,14.69
Islamabad,2021-08-24 01:00:00,5,Very Poor,1134.87,0.0,24.33,46.49,6.2,64.5,82.37,14.57
Islamabad,2021-08-24 02:00:00,5,Very Poor,1361.85,0.94,39.41,30.76,6.91,64.21,80.38,16.21
Islamabad,2021-08-24 03:00:00,5,Very Poor,1682.28,8.38,51.41,27.18,9.06,64.75,79.55,17.73
Islamabad,2021-08-24 04:00:00,5,Very Poor,1054.76,3.07,27.08,91.55,21.7,59.86,71.18,13.3
Islamabad,2021-08-24 05:00:00,5,Very Poor,934.6,2.32,19.71,131.61,26.94,63.68,74.63,12.41
Islamabad,2021-08-24 06:00:00,5,Very Poor,834.47,1.26,13.02,180.24,24.32,69.67,80.41,12.03
Islamabad,2021-08-24 07:00:00,5,Very Poor,694.28,0.57,6.34,191.69,13.95,66.53,77.03,10.77
Islamabad,2021-08-24 08:00:00,5,Very Poor,647.54,0.5,5.23,181.68,10.73,62.03,72.65,10.01
Islamabad,2021-08-24 09:00:00,5,Very Poor,654.22,0.55,5.74,181.68,10.73,60.56,71.47,9.88
Islamabad,2021-08-24 10:00:00,5,Very Poor,654.22,0.59,6.34,175.95,10.37,59.11,70.93,9.88
Islamabad,2021-08-24 11:00:00,5,Very Poor,674.25,0.67,8.4,170.23,11.33,57.26,69.79,10.01
Islamabad,2021-08-24 12:00:00,5,Very Poor,720.98,0.71,13.2,160.22,13.83,55.74,68.78,10.13
Islamabad,2021-08-24 13:00:00,5,Very Poor,2723.69,22.8,116.53,41.13,16.93,67.19,82.19,17.23
Islamabad,2021-08-24 14:00:00,5,Very Poor,5714.42,116.23,159.03,0.27,18.84,89.82,108.59,26.6
Islamabad,2021-08-24 15:00:00,5,Very Poor,7904.05,184.18,171.36,0.0,19.31,112.81,135.98,33.44
Islamabad,2021-08-24 16:00:00,5,Very Poor,8544.92,184.18,183.7,0.0,18.36,126.61,152.77,36.48
Islamabad,2021-08-24 17:00:00,5,Very Poor,7476.81,137.69,167.25,0.0,15.02,126.96,154.01,34.45
Islamabad,2021-08-24 18:00:00,5,Very Poor,5607.61,91.2,135.72,0.0,11.56,116.86,142.81,30.91
Islamabad,2021-08-24 19:00:00,5,Very Poor,2696.99,4.36,104.19,14.13,10.49,90.56,111.02,24.07
Islamabad,2021-08-24 20:00:00,5,Very Poor,1708.98,0.0,51.41,55.08,8.23,83.83,101.81,21.79
Islamabad,2021-08-24 21:00:00,5,Very Poor,1201.63,0.0,23.99,76.53,6.44,81.72,97.7,20.01
Islamabad,2021-08-24 22:00:00,5,Very Poor,934.6,0.0,13.2,85.83,5.78,79.86,93.66,17.48
Islamabad,2021-08-24 23:00:00,5,Very Poor,907.9,0.0,12.0,79.39,5.54,79.96,92.68,16.97
Islamabad,2021-08-25 00:00:00,5,Very Poor,921.25,0.0,13.2,73.67,5.72,80.33,92.38,15.96
Islamabad,2021-08-25 01:00:00,5,Very Poor,1001.36,0.0,17.48,69.38,6.32,79.72,91.4,15.07
Islamabad,2021-08-25 02:00:00,5,Very Poor,1268.39,0.3,34.27,60.08,7.63,79.04,90.52,15.07
Islamabad,2021-08-25 03:00:00,5,Very Poor,1615.52,2.88,52.78,62.94,10.37,77.98,88.92,14.82
Islamabad,2021-08-25 04:00:00,5,Very Poor,1108.17,1.58,26.05,130.18,15.74,70.8,79.49,10.77
Islamabad,2021-08-25 05:00:00,5,Very Poor,988.01,1.38,17.65,161.65,19.55,69.99,78.14,10.13
Islamabad,2021-08-25 06:00:00,5,Very Poor,947.95,1.02,13.02,197.41,25.75,73.28,81.15,9.88
Islamabad,2021-08-25 07:00:00,5,Very Poor,827.79,0.62,7.8,211.72,23.84,73.75,85.03,8.74
Islamabad,2021-08-25 08:00:00,5,Very Poor,761.03,0.56,6.86,211.72,23.37,73.51,90.03,7.85
Islamabad,2021-08-25 09:00:00,5,Very Poor,754.36,0.59,7.71,220.3,25.27,75.29,95.31,7.54
Islamabad,2021-08-25 10:00:00,5,Very Poor,747.68,0.62,9.0,228.88,24.32,77.32,100.12,7.41
Islamabad,2021-08-25 11:00:00,5,Very Poor,747.68,0.64,11.14,226.02,22.65,78.28,103.33,7.54
Islamabad,2021-08-25 12:00:00,5,Very Poor,767.71,0.59,15.25,205.99,21.94,77.6,105.17,7.79
Islamabad,2021-08-25 13:00:00,5,Very Poor,1668.93,1.29,76.77,115.87,22.17,82.88,112.69,11.65
Islamabad,2021-08-25 14:00:00,5,Very Poor,3177.64,4.19,156.28,17.7,22.89,95.04,126.93,17.73
Islamabad,2021-08-25 15:00:00,5,Very Poor,4432.68,27.72,171.36,0.01,22.17,107.88,142.17,23.56
Islamabad,2021-08-25 16:00:00,5,Very Poor,4966.74,38.0,159.03,0.0,18.12,116.0,153.33,27.87
Islamabad,2021-08-25 17:00:00,5,Very Poor,4112.24,30.4,128.87,0.0,12.88,113.68,151.87,28.63
